cid,text,time,author,channel,votes,replies,photo,heart,time_parsed,video_url
UgxB70L03a7htmZ-z614AaABAg.98YE3GgDlPU990uqopv45a,Its that skin care routine,5 years ago,@user-om1wm8gr4d,UCmGuzP1CTjIMR083MRGNuvA,14,,https://yt3.ggpht.com/ytc/AIdro_kXll7Z4Ujcjtjrxa112JnLJW_MDwTFIVd9IhgsJfSqXfI=s88-c-k-c0x00ffffff-no-rj,False,1614500760.357431,https://www.youtube.com/watch?v=INIG636SnU4
UgxB70L03a7htmZ-z614AaABAg.98YE3GgDlPU9rgxm8wre2R, @user-om1wm8gr4d its that non alcohol routine *,2 years ago (edited),@jawsmiaous9446,UCSzqJxwcLnNOsJLuP6Ef2SQ,0,,https://yt3.ggpht.com/ytc/AIdro_m3yH3CkDYbBlrEro0QnKb_ItobeFHLwKuQcGuP0f6Bn7OoKZ8W5OF5gGcuK2Gkd9LxEg=s88-c-k-c0x00ffffff-no-rj,False,1709108760.35899,https://www.youtube.com/watch?v=INIG636SnU4
UgxB70L03a7htmZ-z614AaABAg.98YE3GgDlPU99Zcpp-10s-," Steffan Blanco  Half the people commenting on the muslim shiekh are Christians, not muslims. So.........",5 years ago,@mustafarehan2629,UCbp4bcOdvR3knSckcfwCbjw,2,,https://yt3.ggpht.com/ytc/AIdro_kziNcRSgGM9TXrjuwrb6dKOCja38ryFhnx-yUAtp4=s88-c-k-c0x00ffffff-no-rj,False,1614500760.360547,https://www.youtube.com/watch?v=INIG636SnU4
UgxB70L03a7htmZ-z614AaABAg.98YE3GgDlPUAHnVzbPGcp-,Weird ass comment,9 months ago,@kooldude121858,UCVUhU0hF6pCB-JNxWm3Yzaw,0,,https://yt3.ggpht.com/Sz13ai2rYFsuMQOb54ArvQirmUmBhJZXI7ncsnD2OPrPEITk6H0aYnQyo5JYhGgM_E8IMyQQVkE=s88-c-k-c0x00ffffff-no-rj,False,1748420760.362798,https://www.youtube.com/watch?v=INIG636SnU4
UgxB70L03a7htmZ-z614AaABAg.98YE3GgDlPU996MLeUw_Tt,I don't get how are you all people blind u see his face like that because that is your religion but if it was not your religion you would see no difference.,5 years ago,@kslsdbcmoaksmxd8874,UCtO3JxmKWG_RFtEC-gzASNQ,9,,https://yt3.ggpht.com/ytc/AIdro_mP708DAk45v6e37ZmQNAsloptXWZ1UeHFUGtPPp7g=s88-c-k-c0x00ffffff-no-rj,False,1614500760.36433,https://www.youtube.com/watch?v=INIG636SnU4
UgxB70L03a7htmZ-z614AaABAg.98YE3GgDlPU99A3SIKQq2c,bcz he was more white,5 years ago,@NKevin44,UCfqLENqCSaYvNQjE0GL6B-w,0,,https://yt3.ggpht.com/ytc/AIdro_n4MczQsY_Gh1Dc15kyRvZM9hg8rd1ToITP5rnM7nZjgMc=s88-c-k-c0x00ffffff-no-rj,False,1614500760.365884,https://www.youtube.com/watch?v=INIG636SnU4
UgxB70L03a7htmZ-z614AaABAg.98YE3GgDlPU994l8l4hfmr,"to clarify, the muslim kept lying about christianity, he said new testament has more violence than the quran. i dont get why they just let him pass with his lies. but it seems he represented islam very well.",5 years ago,@thehonesttruth278,UCrBPAStWT_lvIapS4CXhPUQ,5,,https://yt3.ggpht.com/ytc/AIdro_n0PNrkS5TgOSKBZTOo3M2ocDuot2_BQx-Uz8O5S3M=s88-c-k-c0x00ffffff-no-rj,False,1614500760.367446,https://www.youtube.com/watch?v=INIG636SnU4
UgxB70L03a7htmZ-z614AaABAg.98YE3GgDlPUA80Bo0LPDUH," @thehonesttruth278   To be clear, he didn’t say that the New Testament says Jesus (pbuh) encourages people to be violent. That’s not what he’s saying at all. I think you might be misunderstanding things. But between Herod’s masacre of the innocents, the crucifixion, the attempted stone ing of Mary Magdalene (there’s no stone ing of women in the Quran), the treatment of the people of Judea by the Romans, and many other examples, yes, I’d say that the New Testament has much more graphic depictions than the Quran. That’s not necessarily a bad thing, as it’s descriptive of the stories and the lessons of those stories. And there’s not zero violence in the Quran, there are some examples. I just think Omar’s point was simply that people often disparage Islam as an inherently violent religion, but most Muslims are peaceful, and the Quran actually has less violence than the bible, both testaments. Hope that calms you down a bit about this. I don’t think anybody “called him out” in this conversation because, firstly, he was factually correct, and secondly, I think they understood his intentions better than you did.",1 year ago,@kathleencove,UC1eRGx5ATv8X3QLNW0bXOjA,1,,https://yt3.ggpht.com/ytc/AIdro_mVFpKFnHJDewJdtXedtzzeIlgGqda2nPoNRFKcc-dllA=s88-c-k-c0x00ffffff-no-rj,False,1740731160.368979,https://www.youtube.com/watch?v=INIG636SnU4
UgxB70L03a7htmZ-z614AaABAg.98YE3GgDlPU9q_RWv_kKzT, @thehonesttruth278  cuz it's real,2 years ago,@tr.triangle4839,UCodujif4GJEWl6zPA2hXs0w,0,,https://yt3.ggpht.com/ytc/AIdro_lNu9cETIj3r91C3sEi4pdOsBvKMvSlNieFgCKXocGzMbU=s88-c-k-c0x00ffffff-no-rj,False,1709108760.370584,https://www.youtube.com/watch?v=INIG636SnU4
UgxB70L03a7htmZ-z614AaABAg.98YE3GgDlPUAFoOOzdJtWf," @thehonesttruth278 no its true, theres no violence in the quran other than when talking about war whereas the new testament has instances of violence",11 months ago,@asm-f9u,UCMoNTplkKnPzh26BM_T4tRg,0,,https://yt3.ggpht.com/T3CKZ4-qhIMUtmTEsJPh14QCtuxgpZ8iF4LUr9nboe5yCK92qVNEG5rIAHQugYbyzaOV6teKjg=s88-c-k-c0x00ffffff-no-rj,False,1743150360.372835,https://www.youtube.com/watch?v=INIG636SnU4
UgzESWtMKq3Z8ENKVj94AaABAg.8rdsT61ANiHAS_PsMviC1k,"Каждый человек у которого открыт разум и сердце, он найдет истину и выберет Ислам 

Аллаху Акбар!!",4 weeks ago (edited),@there1snoGodbutAllah,UCofmHLzBT4TeDclRibE93Mw,3,,https://yt3.ggpht.com/Olj7DxprvrICvIXcQWNIiaM7hj1V2LZusmyvmZlTiU9cT7RC0LRibraa6FhVTGwYsukb6HT1WrY=s88-c-k-c0x00ffffff-no-rj,False,1769847960.565052,https://www.youtube.com/watch?v=INIG636SnU4
Ugze9G_8coOK_5w4I1N4AaABAg.8vrGSOeK3IZA3XbcaM0J_e,he is Omar sulaiman- has beautiful lectures in youtube,1 year ago,@PURPLEHUMAN-sr8io,UCV6bAOKcRHxU5-uCdNLrmAQ,3,,https://yt3.ggpht.com/ytc/AIdro_kPnWgPdaEneGRS_lHThnRi4WowEiydFJHvz_TIJ-uZt0uKxLt_qjIlJRs-UBamd5r2HA=s88-c-k-c0x00ffffff-no-rj,False,1740731160.758414,https://www.youtube.com/watch?v=INIG636SnU4
